lambda,beta,frac_campo,ion
1516.806723,13024194.27,0.145549157,3
1516.806723,13024573.86,0.145596902,3
1516.806723,13024953.99,0.145644688,3
1516.806723,13025334.66,0.145692515,3
1516.806723,13025715.87,0.145740382,3
1516.806723,13026097.63,0.14578829,3
1516.806723,13026479.93,0.145836238,3
1516.806723,13026862.77,0.145884226,3
1516.806723,13027246.15,0.145932255,3
1516.806723,13027630.08,0.145980324,3
1516.806723,13028014.55,0.146028433,3
1516.806723,13028399.56,0.146076582,3
1516.806723,13028785.12,0.146124771,3
1516.806723,13029171.22,0.146173,3
1516.806723,13029557.87,0.146221269,3
1516.806723,13029945.06,0.146269577,3
1516.806723,13030332.8,0.146317925,3
1516.806723,13030721.09,0.146366313,3
1516.806723,13031109.92,0.14641474,3
1516.806723,13031499.3,0.146463206,3
1516.806723,13031889.23,0.146511712,3
1516.806723,13032279.71,0.146560256,3
1516.806723,13032670.73,0.14660884,3
1516.806723,13033062.3,0.146657464,3
1516.806723,13033454.42,0.146706126,3
1516.806723,13033847.09,0.146754826,3
1516.806723,13034240.31,0.146803566,3
1516.806723,13034634.08,0.146852345,3
1516.806723,13035028.4,0.146901162,3
1516.806723,13035423.27,0.146950017,3
1516.806723,13035818.69,0.146998911,3
1516.806723,13036214.67,0.147047844,3
1516.806723,13036611.19,0.147096814,3
1516.806723,13037008.27,0.147145823,3
1516.806723,13037405.9,0.14719487,3
1516.806723,13037804.08,0.147243955,3
1516.806723,13038202.82,0.147293079,3
1516.806723,13038602.11,0.147342239,3
1516.806723,13039001.95,0.147391438,3
1516.806723,13039402.35,0.147440674,3
1516.806723,13039803.31,0.147489948,3
1516.806723,13040204.82,0.14753926,3
1516.806723,13040606.88,0.147588609,3
1516.806723,13041009.5,0.147637995,3
1516.806723,13041412.68,0.147687418,3
1516.806723,13041816.41,0.147736879,3
1516.806723,13042220.7,0.147786376,3
1516.806723,13042625.55,0.147835911,3
1516.806723,13043030.96,0.147885482,3
1516.806723,13043436.92,0.147935091,3
1516.806723,13043843.45,0.147984736,3
1516.806723,13044250.53,0.148034417,3
1516.806723,13044658.17,0.148084135,3
1516.806723,13045066.37,0.14813389,3
1516.806723,13045475.13,0.14818368,3
1516.806723,13045884.46,0.148233507,3
1516.806723,13046294.34,0.148283371,3
1516.806723,13046704.78,0.14833327,3
1516.806723,13047115.79,0.148383205,3
1521.008403,12966462.3,0.14510056,3
1521.008403,12966822.74,0.145146533,3
1521.008403,12967183.71,0.145192549,3
1521.008403,12967545.2,0.145238607,3
1521.008403,12967907.23,0.145284708,3
1521.008403,12968269.78,0.145330851,3
1521.008403,12968632.86,0.145377037,3
1521.008403,12968996.48,0.145423266,3
1521.008403,12969360.62,0.145469537,3
1521.008403,12969725.3,0.14551585,3
1521.008403,12970090.5,0.145562205,3
1521.008403,12970456.24,0.145608603,3
1521.008403,12970822.51,0.145655042,3
1521.008403,12971189.32,0.145701524,3
1521.008403,12971556.65,0.145748047,3
1521.008403,12971924.52,0.145794613,3
1521.008403,12972292.92,0.14584122,3
1521.008403,12972661.86,0.145887869,3
1521.008403,12973031.33,0.145934559,3
1521.008403,12973401.34,0.145981292,3
1521.008403,12973771.88,0.146028065,3
1521.008403,12974142.95,0.14607488,3
1521.008403,12974514.56,0.146121737,3
1521.008403,12974886.71,0.146168634,3
1521.008403,12975259.4,0.146215573,3
1521.008403,12975632.62,0.146262553,3
1521.008403,12976006.38,0.146309574,3
1521.008403,12976380.67,0.146356636,3
1521.008403,12976755.51,0.146403739,3
1521.008403,12977130.88,0.146450883,3
1521.008403,12977506.79,0.146498068,3
1521.008403,12977883.24,0.146545293,3
1521.008403,12978260.23,0.146592559,3
1521.008403,12978637.76,0.146639865,3
1521.008403,12979015.83,0.146687212,3
1521.008403,12979394.44,0.146734599,3
1521.008403,12979773.59,0.146782026,3
1521.008403,12980153.28,0.146829494,3
1521.008403,12980533.51,0.146877002,3
1521.008403,12980914.29,0.14692455,3
1521.008403,12981295.6,0.146972137,3
1521.008403,12981677.46,0.147019765,3
1521.008403,12982059.87,0.147067433,3
1521.008403,12982442.82,0.14711514,3
1521.008403,12982826.31,0.147162887,3
1521.008403,12983210.34,0.147210673,3
1521.008403,12983594.92,0.147258499,3
1521.008403,12983980.05,0.147306364,3
1521.008403,12984365.72,0.147354269,3
1521.008403,12984751.93,0.147402213,3
1521.008403,12985138.69,0.147450196,3
1521.008403,12985526,0.147498218,3
1521.008403,12985913.86,0.14754628,3
1521.008403,12986302.26,0.14759438,3
1521.008403,12986691.21,0.147642519,3
1521.008403,12987080.7,0.147690696,3
1521.008403,12987470.75,0.147738913,3
1521.008403,12987861.34,0.147787168,3
1521.008403,12988252.49,0.147835461,3
1521.008403,12988644.18,0.147883793,3
1521.008403,12989036.42,0.147932163,3
1521.008403,12989429.22,0.147980571,3
1521.008403,12989822.56,0.148029018,3
1521.008403,12990216.45,0.148077503,3
1521.008403,12990610.9,0.148126025,3
1521.008403,12991005.89,0.148174586,3
1521.008403,12991401.44,0.148223184,3
1521.008403,12991797.54,0.14827182,3
1521.008403,12992194.2,0.148320494,3
1521.008403,12992591.4,0.148369205,3
1521.008403,12992989.16,0.148417954,3
1521.008403,12993387.48,0.14846674,3
1521.008403,12993786.34,0.148515563,3
1521.008403,12994185.77,0.148564424,3
1521.008403,12994585.74,0.148613321,3
1521.008403,12994986.28,0.148662256,3
1521.008403,12995387.36,0.148711227,3
1521.008403,12995789.01,0.148760236,3
1521.008403,12996191.21,0.148809281,3
1521.008403,12996593.97,0.148858363,3
